image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x182F49B20D0>,is the mass heterogenous?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x182F49B2210>,is the mass heterogenous in consistency?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x182F49B2350>,are there abnormalities with in the contrast between white and grey matter?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x182F49B2490>,is the gray-white matter junction altered?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x655 at 0x182F49B25D0>,is there evidence of inflammation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x655 at 0x182F49B2710>,is any structure inflamed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x182F49B2850>,is the image in the axial plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x182F49B2990>,how can the distribution in this image be described?,micronodular
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x182F49B2AD0>,is there blunting of the left costophrenic angle?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x182F49B2C10>,what type of distributions is seen on this image?,micronodular
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x182F49B2D50>,what is the location of the mass?,left rectus abdominus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x182F49B2E90>,where is the mass?,left rectus abdominus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x182F49B2FD0>,is this a t1 weighted image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x182F49B3110>,is the right renal vein visualized?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x182F49B3250>,is it possible to identify the right renal vein?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49B3390>,are the kidneys visible in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49B34D0>,is air visible in the bowels?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49B3610>,is there air in the bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x182F49B3750>,what do the two bright dots represent?,nipple location
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x182F49B3890>,are structures associated with the midbrain located in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x182F49B39D0>,what are the two hyperlucent inferior dots?,nipple location
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49B3B10>,what are the locations of the hyperintensities?,bilateral frontal lobes and body of corpus callosum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49B3C50>,where are the hyperintensities located?,bilateral frontal lobes and body of corpus callosum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x182F49B3D90>,are the kidneys visualized?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x182F49B3ED0>,can you see the kidneys,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x182F49E0050>,is this a pa or ap film?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x182F49E0190>,what laterality is this film?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x753 at 0x182F49E02D0>,what artery is the embolus from?,distal basilar artery
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x753 at 0x182F49E0410>,where is the embolus located?,distal basilar artery
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x182F49E0550>,the mass is located in what region?,suprasellar
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x182F49E0690>,is the midbrain identified in this section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x182F49E07D0>,where is the mass located?,suprasellar
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49E0910>,the imaging modality is...?,mri/flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49E0A50>,what is the image modality?,mri/flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x182F49E0B90>,is there fluid in the lungs?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x182F49E0CD0>,is a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49E0E10>,is this an axial cut?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x182F49E0F50>,is the trachea deviated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x182F49E1090>,is tracheal deviation present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x182F49E11D0>,what image modality is this?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x182F49E1310>,what imaging modality was used,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x182F49E1450>,are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x182F49E1590>,are patchy infiltrates depicted?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x182F49E16D0>,are there patchy infiltrates present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x182F49E1810>,are the margins of the cardiac silhouette normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1024 at 0x182F49E1950>,is the heart border normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1009x1200 at 0x182F49E1A90>,is this an axial plane,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49E1BD0>,is there intrahepatic ductal dilatation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49E1D10>,is intrahepatic ductal dilatation present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x877 at 0x182F49E1E50>,what imaging modality was used?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x877 at 0x182F49E1F90>,what type of image is this?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x182F49E20D0>,are air fluid levels depicted in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x182F49E2210>,are there >5 lymph nodes located near the stomach?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x182F49E2350>,is there an air fluid level present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x718 at 0x182F49E2490>,where is the pathology located?,anterior cerebrum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x718 at 0x182F49E25D0>,which region of the brain is impacted?,anterior surface
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49E2710>,is there air in the bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49E2850>,is air present in the bowel?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x182F49E2990>,what is behind the liver?,ascites
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x182F49E2AD0>,what finding is associated with liver?,ascites
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x718 at 0x182F49E2C10>,what type of image is this?,mri-flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x718 at 0x182F49E2D50>,what imaging modality was used,mri-flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x675 at 0x182F49E2E90>,what imaging plane is depicted here?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x182F49E2FD0>,does the gallbladder appear distended?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x675 at 0x182F49E3110>,what is the plane?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x182F49E3250>,is cardiomegaly shown?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=840x1024 at 0x182F49E3390>,is the heart enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x182F49E34D0>,what is the location of the mass?,right kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x182F49E3610>,where is the mass located?,right kidney
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x182F49E3750>,how was this image taken?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49E3890>,what do the hyperintensities likely represent?,hemorrhage
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F49E39D0>,what are the hyperintensities signaling?,hemorrhage
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x182F49E3B10>,can you see kidneys in this image,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1009x1200 at 0x182F49E3C50>,how was this image taken?,with contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x182F49E3D90>,is the gallbladder enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x182F49E3ED0>,is there contrast in this image,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x182F4A0C050>,is pericholecystic inflammation present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x182F4A0C190>,what is the lighter substance around the gallbladder,pericholecystic fluid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1006 at 0x182F4A0C2D0>,what type of imaging was used?,mr - t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1006 at 0x182F4A0C410>,which image modality is this?,mr - t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x182F4A0C550>,what is the plane?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x182F4A0C690>,what plane was used?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x182F4A0C7D0>,does this image use contrast or not?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x182F4A0C910>,does this ct have contrast or no contrast?,contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F4A0CA50>,what is wrong with the pancreas?,fatty infiltration
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=566x555 at 0x182F4A0CB90>,where is the pathology in this image?,vasculature
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x182F4A0CCD0>,is this image plane taken inferior to the liver?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F4A0CE10>,what pathology does the pancreas deominstrate?,fatty infiltration
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x182F4A0CF50>,is the liver cirrhotic?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x182F4A0D090>,what organ exhibits pathology,jejunum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x182F4A0D1D0>,which part of the bowel is involved by the mass?,jejunum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x182F4A0D310>,what plane are we in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x182F4A0D450>,what is the modality used?,mr - adc map
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=393x379 at 0x182F4A0D590>,what imaging method was used?,mr - adc map
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x877 at 0x182F4A0D6D0>,what is at the base of the right lung?,nodules
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x877 at 0x182F4A0D810>,what pathology is shown at the lung bases?,nodules
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x182F4A0D950>,is this a pa film?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x182F4A0DA90>,is there any shift of midline structures visible in this section?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1151 at 0x182F4A0DBD0>,what image modality is this?,x-ray
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x182F4A0DD10>,is this an axial plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x182F4A0DE50>,is this a ct image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x182F4A0DF90>,the abscess is located in what structure?,descending colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x182F4A0E0D0>,where is the abscess located?,descending colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x753 at 0x182F4A0E210>,where are the hyperlucencies located?,"thalami, left occipital lobe, brainstem and left cerebellum"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x753 at 0x182F4A0E350>,which areas are lighting up?,"thalami, left occipital lobe, brainstem and left cerebellum"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x182F4A0E490>,are there multiple septations within the cyst?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x182F4A0E5D0>,is the cyst complex?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x182F4A0E710>,what organ is involved?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x182F4A0E850>,is there shifting of structures across the middle?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x566 at 0x182F4A0E990>,which organ is affected?,pancreas
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x182F4A0EAD0>,where are the kidneys located?,adjacent to vertebrae
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F4A0EC10>,is there contrast in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F4A0ED50>,is there evidence of mesenteric lymphadenopathy?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x182F4A0EE90>,is mesenteric lymphadenopathy present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x675 at 0x182F4A0EFD0>,what imaging modality was used?,mr - flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x675 at 0x182F4A0F110>,what type of image modality is this?,mr - flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x182F4A0F250>,is the right conal fascia inflammed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x645 at 0x182F4A0F390>,is inflammation present at the right conal fascia?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x182F4A0F4D0>,what organ is enlarged?,spleen
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x182F4A0F610>,is there evidence of a small bowel obstruction with perforated viscus on this ct?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=531x480 at 0x182F4A0F750>,which organ is abnormally large?,spleen
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x182F4A0F890>,what does the enhancing periphery of the mass represent?,calcification
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x182F4A0F9D0>,what is the outer rim of the mass?,calcification
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x182F4A0FB10>,blunting of the costophrenic angles indicate what condition?,pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x182F4A0FC50>,what does the blunting of the costophrenic angles indicate?,pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1009x1200 at 0x182F4A0FD90>,what are the two bright images on either side,hip bones
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x850 at 0x182F4A0FED0>,is there hilar adenopathy?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x1828E198050>,is the et tube properly placed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x642 at 0x1828E198190>,is there perinephric fat stranding?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E1982D0>,which plane is the image in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1105 at 0x1828E198410>,is there evidence of a pneumoperitoneum secondary to a perforation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x640 at 0x1828E198550>,is this a singular or multilobulated lesion?,multilobulated
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1828E198690>,is there cardiomegaly?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=446x438 at 0x1828E1987D0>,are the sulci visible in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E198910>,what imaging modality was used?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x1828E198A50>,is the trachea midline?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=643x768 at 0x1828E198B90>,are there any fractures in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1828E198CD0>,was the patient given iv contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x1200 at 0x1828E198E10>,is there contrast in the patient's vasculature?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1295 at 0x1828E198F50>,is there pleural thickening in the r lung?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E199090>,is iv contrast used?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x1828E1991D0>,is there edema in the patient's right temporal lobe?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E199310>,is this process bilateral?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x1828E199450>,is the sigmoid colon visualized at this axial section?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x1828E199590>,is there a pneumothorax?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x1828E1996D0>,is the abnormality hyper intense?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=341x428 at 0x1828E199810>,is there ring-enhancement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x964 at 0x1828E199950>,is there air in the lesion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x256 at 0x1828E199A90>,what part of the posterior brain contains the lesions?,temporal and lateral occipital lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1828E199BD0>,which lung are the nodules located in?,bilateral
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=366x433 at 0x1828E199D10>,what is the signal intensity of the lesion?,mixed intensity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=355x482 at 0x1828E199E50>,is there a shift of midline structures?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x1828E199F90>,is there evidence of cytotoxic edema in the right temporal lobe?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=329x434 at 0x1828E19A0D0>,in what lobe of the brain is the lesion located?,right temporal lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=896x767 at 0x1828E19A210>,are the cerebellar infarcts hyper attenuated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1248 at 0x1828E19A350>,is this patient intubated?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x1828E19A490>,where is the spleen located?,on the left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x1828E19A5D0>,is the spleen present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E19A710>,how many gallstones are identified?,4
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=385x514 at 0x1828E19A850>,what would be the most probably diagnosis for this patient?,acute stroke
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1828E19A990>,why is the left hemithorax more lucent?,decreased muscle bulk
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x654 at 0x1828E19AAD0>,how big is the mass?,6.5 x 6.2 x 8.8cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1828E19AC10>,is there a rib fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x1828E19AD50>,does the mass have a smooth appearing border?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x1828E19AE90>,are there decreased lung markings in the right upper lung field?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x692 at 0x1828E19AFD0>,is there an brain bleed?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1828E19B110>,what is the term for the sign in this image?,right vertebral artery sign
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=996x1128 at 0x1828E19B250>,are there increased interstitial markings?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x1828E19B390>,is the mass in the left or right side?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x572 at 0x1828E19B4D0>,is the corpus callosum involved?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=899x925 at 0x1828E19B610>,which side is the diaphragm more depressed?,left
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=925x1125 at 0x1828E19B750>,is there pneumoperitoneum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x619 at 0x1828E19B890>,how large is the mass?,5cm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1828E19B9D0>,is there grey-white matter differentiation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x1828E19BB10>,is the mass well-defined?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x753 at 0x1828E19BC50>,is there any lesion in the ventricles?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x1828E19BD90>,is the lesion on the right or left side of the brain?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1011x1200 at 0x1828E19BED0>,is there cardiac enlargement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1053 at 0x1828E1C4050>,is there bilateral hilar enlargement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=337x451 at 0x1828E1C4190>,are the orbits in view of this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1090 at 0x1828E1C42D0>,where is the abnormality located?,r hemidiaphragm
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1314 at 0x1828E1C4410>,is there ectatic or aneurysmal enlargement of the abdominal aorta?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x1828E1C4550>,are the kidneys hyper attenuated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1828E1C4690>,is there a fracture in the vertebrae seen?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x1828E1C47D0>,is the aorta visualized?,yes
