ROCO_ID,PMC_ID,Keywords,Caption
ROCO_00013,PMC2505289_11999_2007_20_Fig1_HTML.jpg,"week,right,dangerou,femur,result,dislocation,production,adduction,tibia,hip,roentgenogram,deformity,hyperextension,delivery,child,abduction,lower,extremity,utero,flexion,mother,position,pathological,left"," Child with abduction and flexion of right lower extremity and hyperextension of the tibia on the femur, associated with dislocation of the left hip, probably the result of the dangerous position of adduction in production of pathological dislocation. A roentgenogram of the mother’s pelvis, one week before delivery, showed this same deformity in utero."
ROCO_00014,PMC3932583_IJRI-23-379-g009.jpg,"aorta,image,site,myometrial,mild,proximal,compression,pattern,los,axial,thinning,black,white,myometrium,normal,trilaminar,front,focal,placenta,signal,bifurcation,t2,haste,architecture,arrow,mr,region"," Axial T2 HASTE MR image shows loss of normal trilaminar myometrial architecture and mild focal thinning of placenta at the site of compression of myometrium in front of aorta (black arrow), just proximal to the bifurcation. Normal trilaminar signal pattern of myometrium can be seen at other regions (white arrows)"
ROCO_00015,PMC2577646_1757-1626-1-161-1.jpg,"sonography,appearance,hydronephrosi", Hydronephrosis appearance in sonography.
ROCO_00017,PMC4251391_jpm-03-00203-g013.jpg,"coronary,om2,om1,demonstrating,artery,angiogram", Coronary angiogram demonstrating occluded OM1 and OM2 arteries.
ROCO_00018,PMC3886396_CRIM.SURGERY2013-642394.002.jpg,"normal,coronary,tumor,catheterization,cardiac,blush", Cardiac catheterization showing normal coronaries and a tumor blush.
ROCO_00019,PMC3214859_cmj-47-57-g003.jpg,"followup,angiography,ad,stent,strut,gap,fluoroscopy,coronary", Follow-up coronary angiography and fluoroscopy showed a gap in the stent strut. A-D: a gap in the stent strut.
ROCO_00021,PMC4559407_pone.0137109.g004.jpg,"narrow,group,age,surface,metatarsal,projectioncow,year,symphysi,indistinct,dorsoplantar,bone", Right-sided metatarsal in dorsoplantar projection.Cow. Age group IV—cattle 4–8 years. (a) Narrow symphysis that is (b) indistinct from the bone surface.
ROCO_00022,PMC5573896_CEJI-42-30450-g004.jpg,"patient,fourth", Fourth patient’s MRI
ROCO_00023,PMC5443647_cureus-0009-00000001189-i02.jpg,orthopantomograph, Orthopantomograph
ROCO_00024,PMC4603237_JoU-2012-0032-g010.jpg,"parenchyma,steatosi,liver,focal", Focal steatosis of the liver parenchyma
ROCO_00026,PMC5292174_CRICC2017-8063837.001.jpg,"preoperative,diastole,end,preop,pic,tte"," Preoperative TTE, end diastole (preop pics)."
ROCO_00028,PMC5409401_AJNS-12-321-g003.jpg,"extension,foraminal,image,t2,resonance,cyst,magnetic", Magnetic resonance T2 weighted image showing foraminal extensions of the cysts
ROCO_00029,PMC4627831_cureus-0007-000000000328-i04.jpg,"contrastenhanced,lesion,figure,mriaxial,image,posttreatment"," Post-Treatment MRIAxial T1-weighted, contrast-enhanced image showing the same lesion as Figure 3. "
ROCO_00030,PMC362879_1471-2466-4-1-1.jpg,"pancreatic,abdominal,scan,showing,pseudocyst,ct", Abdominal CT scan showing pancreatic pseudocyst
ROCO_00032,PMC4495506_IJU-31-259-g004.jpg,"tuberculou,lesion,complete,image,month,abdoman,axial,treatment,tomography,resolution,computed", Axial contrast-enhanced computed tomography image of the abdomen 3 months after anti tuberculous treatment showing complete resolution of the lesions
ROCO_00033,PMC3543206_1752-1947-6-425-2.jpg,"humeru,lesion,lytic", Lytic lesions (arrows) involving the humerus.
ROCO_00034,PMC4305616_CRIVAM2015-954217.002.jpg,"evar,fluoroscopy,image,procedure", Fluoroscopy image of EVAR procedure.
ROCO_00035,PMC5350332_CRIPE2017-6969787.003.jpg,"week,pelvi,head,collapse,femoral,initial,early,ap,xray,presentation", AP pelvis X-ray obtained 6 weeks from initial presentation which shows early femoral head collapse.
ROCO_00037,PMC3448318_medoral-17-e276-g003.jpg,"control,postoperative,surgery,periapical", Postoperative control following periapical surgery.
ROCO_00038,PMC3113364_CCRP2011-731758.003.jpg,"arrowhead,level,vein,image,cava,vena,liver,hepatic,air,inferior,ct", CT image of the liver shows air in the hepatic veins (arrow) and air-contrast level in the inferior vena cava (arrowhead).
ROCO_00039,PMC5075623_CRIVAM2016-7519748.002.jpg,"lesion,attempt,glidewire,insertion,sfa", SFA perforated after Glidewire insertion in an attempt to cross the lesion.
ROCO_00040,PMC4665132_SNI-6-180-g010.jpg,"postoperative,tomography,scan", Postoperative computed tomography scan
ROCO_00041,PMC4900114_gr4a.jpg,"pelvi,woman,postcontrast,image,tumor,axial,t1w,mr,venou,thrombu"," 18-year-old woman with venous tumor thrombus. Axial T1W fat-saturated, postcontrast MR image of the pelvis."
ROCO_00042,PMC4891922_12891_2016_1099_Fig3_HTML.jpg,"control,xray,calcaneu", X-ray control of calcaneus drilling
ROCO_00043,PMC5024954_AJUM-18-19-g002.jpg,"anterior,wall,image,probe,thicknes,quality,canal,cervix,internal,endocervical,fornix,transvaginal,good,maternal,pelvi,pressure,posterior,external,cervical,length,echolucency,similar", Transvaginal image of the maternal pelvis demonstrating cervical length. The probe is first advanced into the anterior fornix and then slightly withdrawn so that good image quality is maintained while avoiding placing pressure on the cervix. Cervical length is measured from internal to external os. The endocervical canal is also marked and can be differentiated by its echolucency. The anterior and posterior cervical walls are of similar thickness.
ROCO_00044,PMC3514928_CCD-3-248-g003.jpg,"premolar,radiolucency,opg,supernumerary", OPG showing a well defined corticated radiolucency containing two supernumerary premolars
ROCO_00045,PMC4599051_ott-8-2767Fig1.jpg,"node,effusion,mas,pericardial,multiple,scan,lobe,december,treatmentnote,pleural,upper,lung,arrow,lymph,tomography,demonstrate,mediastinum,abundant,pericardium,day,left"," Computed tomography scan obtained on December 24, 2014 (7 days before treatment).Notes: Scan demonstrates a mass in the upper lobe of the left lung, multiple enlarged lymph nodes in the mediastinum, and pleural effusion; arrow indicates abundant pericardial effusion around the pericardium."
ROCO_00046,PMC4832035_gr1.jpg,"lower,lesion,aorta,lobe,image,thoracic,chest,coronal,arrow,left,artery,white,cystic,aberrant,contrast,ct", Coronal contrast chest CT image showing the two aberrant arteries (white arrow) arising directly from the thoracic aorta and the left lower lobe cystic lesion.
ROCO_00047,PMC2747406_IJRI-19-36-g009.jpg,"dense,osteoma,scan,osteoid,femur,axial,cortex,arrow,show,arrowhead,sclerosi,ct"," Osteoid osteoma in the femur. Axial CT scan shows a nidus (arrow) within the cortex, with surrounding dense sclerosis (arrowhead)"
ROCO_00048,PMC5571395_ijcpd-10-208-g004.jpg,"cusp,mandibular,tooth,talon,fusion,respect,occlusal,view", Mandibular occlusal view radiograph showing fusion of mandibular teeth with talon cusp with respect to 41 and 42
ROCO_00049,PMC5123388_40349_2016_76_Fig29_HTML.jpg,"target,image,bbb,tumor,intraoperative,mr,t2w,first", Intraoperative T2w MR image showing the tumor and the first BBB target
ROCO_00050,PMC4239440_PAMJ-18-217-g001.jpg,"abdominal,diaphragm,free,air,xray,film", Free air beneath the diaphragm at abdominal x-ray film
ROCO_00051,PMC1555629_ipej030023-02.jpg,"reintervention,radiography,posteroanterior,lead,caval,time,tip,endothelium,ventricular,wall,right,exit,inferior,pacemaker,loop,existent,vena,electrode,block", Posteroanterior radiography immediately before reintervention showing the inferior vena caval loop of the pacemaker lead strongly attached to the endothelium. The tip of the electrode is still attached the right ventricular wall. At that time an exit block was predominantly existent.
ROCO_00052,PMC4769813_PAMJ-22-319-g002.jpg,"drain,apr,mise,place,du,thoracique", Après mise en place du drain thoracique
ROCO_00053,PMC4500841_270_2014_945_Fig1_HTML.jpg,"venography,right,femoral,site,innominate,common,perforation,catheter,vein,left", Venography of left innominate vein using catheter introduced via right common femoral vein. The site of perforation is well seen
ROCO_00054,PMC5337315_CRIHEP2017-8567695.001.jpg,"mas,level,spine,osseou,marked,c3,ct,destruction", CT spine showing a mass at level of C3 with marked osseous destruction.
ROCO_00055,PMC3935260_JCIS-3-60-g019.jpg,"right,scan,lung,miliary,pulmonary,progressive,ct,tuberculosi,show,due,window,black,white,attenuation,lesion,micronodular,boy,bilateral,destroid,large,groundglas,arrow,small,cystic", Destroid lung due to progressive pulmonary tuberculosis in a 16-year-old boy. CT scan (lung window) shows diffuse bilateral small and large air-filled cystic lesions (black arrows) associated with ground-glass attenuation and disseminated miliary micronodular lesions on the right (white arrows).
ROCO_00056,PMC4778881_gox-4-e610-g001.jpg,"metacarpal,giant,thumb,cell,tumor,view", View of giant cell tumor of thumb metacarpal preoperatively.
ROCO_00057,PMC3352004_2047-783X-16-7-324-2.jpg,"superior,signal,sinu,thrombosi,high,tw1,mri,sagittal", MRI showing high signals involving the superior sagittal sinus thrombosis on TW1.
ROCO_00058,PMC317358_1476-7120-1-16-51.jpg,"angiography,doppler,lad,additional,color,movie,view,stenosi,coronary,parasternal,echocardiography,short,file,axi,tte,rutine"," Color Doppler echocardiography, parasternal modified short axis view. Middle LAD stenosis was incidentally found on rutine TTE. It was later confirmed by coronary angiography. See movie 13 [see Additional file 13]"
ROCO_00060,PMC3715333_amjcaserep-14-143-g003.jpg,"transverse,lung,infiltration,tomography,leukemic,view", Transverse view of lung using computed tomography. Leukemic infiltration is seen.
ROCO_00063,PMC3217870_1476-7120-9-29-5.jpg,"annulu,calcificationmac,patient,mitral,areamva,valve,shortaxi,parasternal,calculation,planimetry,ptmc,method,view", Calculation of mitral valve area(MVA) via planimetry method from parasternal short-axis view in one patient with mitral annulus calcification(MAC) after PTMC.
ROCO_00064,PMC3391888_JMedLife-05-179-g003.jpg,"resection,polyethylene,ball,eye,polymethyl,thread,pmma,prosthesi,shell,suture,nonresorbable,insertion,dacron,catch,muscle,methacrylate,terephthalate", Catch of the muscles with 5.0 non-resorbable suture thread and their resection near the insertion; Eye prosthesis made up of a Polymethyl methacrylate) (PMMA) ball covered with a Polyethylene terephthalate shell (Dacron)
ROCO_00065,PMC4783562_CRIOR2016-9348032.003.jpg,"hip,right,radiograph,lesser,ap,migration,proximal,trochanter,view", The AP view radiograph of the right hip demonstrates proximal migration of the lesser trochanter.
ROCO_00066,PMC4546967_CRIOR2015-301949.003.jpg,"proximal,femoral,lateral,component,xray,mild,aspect,arthrogram,contrast", X-ray arthrogram showing mild contrast tracking along the proximal lateral aspect of the femoral component.
ROCO_00067,PMC3038692_JBB2011-318346.003.jpg,"highsignal,smaller,lesion,reperfusion,infarction,t2wi,dwi", 48 h reperfusion T2WI shows high-signal infarction smaller than lesion on DWI.
ROCO_00069,PMC4307671_13256_2014_3068_Fig1_HTML.jpg,"vein,medium,renal,thrombu,section,parenchymal,cava,large,axial,vena,contrast,infarction,tomography,injection,cortical,segmental,time,inferior,left","  Computed tomography axial section after injection of contrast medium in parenchymal time showing a large thrombus in the left renal vein extending from the segmental renal veins to the inferior vena cava, complicated by cortical infarction."
ROCO_00070,PMC5050230_40902_2016_83_Fig3_HTML.jpg,"mandibular,radiograph,condyle,costochondral,ramu,area,postoperative,screw,fixation,panoramic,internal,rigid,surgery,left,bicortical,graft", Postoperative panoramic radiograph after surgery. The costochondral graft was adjusted to the left condyle area and secured on the left mandibular ramus by five bicortical screws for rigid internal fixation
ROCO_00071,PMC3785360_ccrep-1-2008-107f1.jpg,"different,solidcystic,liquid,sequence,solid,teratoma,tissue,albuminou,fat,echo,coronal,part,type,t1gradient"," Solid—cystic teratoma containing different types of tissue like fat, albuminous liquid and other solid parts (MRI, T1-gradient echo sequence, coronal)."
ROCO_00072,PMC5577639_rjx025f01.jpg,"right,panoramic,mandible,ramu,dental,tomograph,los,proces,extensive,coronoid,bone"," Dental panoramic tomograph from 2016 showing extensive bone loss of the right mandible, left coronoid process and ramus."
ROCO_00074,PMC3973942_11748_2013_230_Fig1_HTML.jpg,"mas,radiography,lower,chest,right,mediastinum", Chest radiography shows a mass on the right lower mediastinum
ROCO_00075,PMC3362867_ci12001410.jpg,"anterior,right,show,wall,consistent,gy,sign,woman,sharp,ct,completion,area,radiation,chest,low,week,attenuation,patient,normal,straightborder,therapy,liver,lymphoma,change,demarcation,disease", Radiation-induced liver disease: a 21-year-old woman with lymphoma of the right anterior chest wall. The patient received 39.6 Gy to the right chest wall. CT obtained 5 weeks after the completion of radiation therapy shows a well-defined area of low attenuation in the liver with a sharp demarcation between the area of radiation and the normal liver. This is consistent with the straight-border sign of radiation change.
ROCO_00077,PMC4647036_ijcpd-08-176-g004.jpg,"canal,void,root,underfilled", Underfilled root canal with void
ROCO_00078,PMC3883187_IJSS-7-132-g002.jpg,"shoulder,ac,male,patient,separation,joint,radiograph,failed,anteriorposterior,reconstruction,left,type,acromioclavicular,allograft", Anterior-posterior radiograph of the left shoulder of a 36-year-old male patient showing the failed reconstruction of the acromioclavicular (AC) joint with an allograft because of type 5 AC separation
ROCO_00080,PMC5087259_JCHIMP-6-32361-g002.jpg,"cerebral,venou,sinu,thrombosi,iv,arrow,contrast,ct", CT head with IV contrast with an arrow that indicates cerebral venous sinus thrombosis.
ROCO_00081,PMC3549440_PAMJ-13-59-g004.jpg,"pelvi,gastric,hour,pelvic,tube,lower,xray,band,connecting,ct", Pelvic X-RAY hours after the CT showed the gastric band and its connecting tube in the lower pelvis
ROCO_00083,PMC3646702_1749-8090-8-61-9.jpg,"diameter,thoracic,aneurysm,aorta,transverse"," Aneurysm of the descending thoracic aorta with a transverse diameter of 3,1 cm."
ROCO_00085,PMC3201077_AJNS-5-70-g001.jpg,"nerve,mas,right,lobe,proximity,sinu,oculomotor,medial,irregularly,axial,mri,arrow,close,temporal,section,contrast,cavernou", Contrast MRI head axial section showing an irregularly enhancing mass in the right medial temporal lobe anteriorly in the close proximity to the cavernous sinus and oculomotor nerve (arrow).
ROCO_00086,PMC194588_1471-230X-3-23-1.jpg,"anterior,patient,irregular,rectal,appearance,defect,sphincter,prolapse,posterior,internal,asymmetrical,arrow,ia,endovaginal,anal,ultrasonography"," Endo-vaginal ultrasonography of anal sphincter in a patient with rectal prolapse: irregular and asymmetrical appearance of the internal anal sphincter (IAS arrow), without defect (A: anterior, and P: posterior)."
ROCO_00087,PMC5144533_IJCCM-20-677-g002.jpg,"right,guidewire,jugular,xray,chest,internal,vena,position"," Chest X-ray, which confirmed the position of guidewire, extending from the right internal jugular vein up to inferior vena cava"
ROCO_00088,PMC4641558_10.1177_2054270415611833-fig2.jpg,"fragmentation,stent,displacement,abdoman,mechanical,sagittal,angiogram,ct", Sagittal CT angiogram of abdomen demonstrating mechanical fragmentation and displacement of stent.
ROCO_00089,PMC5418872_gr4.jpg,"proximal,third,wax,appearance,note,melorheostosi,aspect,phalanx,candle,ulnar", Melorheostosis involving the ulnar aspect of the third proximal phalanx. Note that it takes on the appearance of dripping candle wax.
ROCO_00090,PMC4435316_crj-01-193-g001.jpg,"barium,obstructive,swallow,appearance,gct", Barium swallow demonstrating the obstructive appearance of the GCT.
ROCO_00091,PMC4613581_JoU-2013-0018-g013.jpg,"complication,doppler,pseudoaneurysm,color,pancreaticoduodenal,damage,ap,examination,result,arrow,artery,pancreatic"," Pancreatic pseudoaneurysm (arrow) visualized in color Doppler examination – a result of the damage of pancreaticoduodenal artery, a complication of AP"
ROCO_00092,PMC5441492_medscimonit-23-2308-g002.jpg,"angiography,mdct,coa,location,arrow,girl", MDCT angiography showing the location of CoA in a 1-month-old (B) girl (arrow).
ROCO_00093,PMC4376869_pone.0122749.g003.jpg,"anterior,cystoid,macular,edema,uveiti,peripheral,quiescent,female,vessel,leakage"," Anterior uveitis with cystoid macular edema.In a 57-year-old female with quiescent anterior uveitis, peripheral vessel leakage and cystoid macular edema were detected."
ROCO_00094,PMC5704880_medi-96-e8781-g001.jpg,"injury,initial,radiograph", Initial radiograph performed after the injury.
ROCO_00095,PMC5403477_etm-13-03-0905-g01.jpg,"doppler,patient,digitu,color,articulatione,interphalangeae,highfrequency,blood,manifestation,apterium,erosion,mediu,bone,ultrasonography", The high-frequency color Doppler ultrasonography manifestation of the apterium blood of the articulationes interphalangeae of digitus medius of the patients with bone erosion.
ROCO_00096,PMC4228050_gr2.jpg,"morphology,image,volunteer,asymptomatic,tmj", Image of the TMJ shows the morphology of the TMJ in an asymptomatic volunteer.
ROCO_00097,PMC2817869_1532-429X-12-1-1.jpg,"levodopa,hypermetabolic,mas,paraganglioma,scan,uptake,consistent,f18,intense,large,axial,petct,atrium,mediastinum,view,posterior,image,left", Axial view of PET-CT scan image demonstrates a large hypermetabolic mass with intense uptake of F18 Levo-DOPA in the posterior mediastinum near the left atrium which is consistent with paraganglioma.
ROCO_00098,PMC2832618_1757-1626-3-55-1.jpg,"mas,eye,cavity,presentation,ocular,heterogeneou,hyperechogenic,ultrasound,len,vitreou,dislocated,hypoechogenic,left", Ocular ultrasound of the left eye demonstrating the dislocated lens in the vitreous cavity. Ocular ultrasound of the left eye at presentation demonstrating the dislocated lens (heterogeneous hyperechogenic oval-shaped mass) within the vitreous cavity (hypoechogenic).
ROCO_00100,PMC3915941_PWKI-9-20462-g002.jpg,"anterior,collateral,conu,circulation,descending,artery", Collateral circulation from the conus artery to the left anterior descending artery
ROCO_00101,PMC4229816_JIOH-6-108-g003.jpg,"lesion,panoramic,radioopaque,welldefined,radiograph,extensive,border", Panoramic radiograph showing extensive radio-opaque lesion with well-defined corticated border.
ROCO_00102,PMC4996598_fig-2.jpg,"obstructive,aorta,scan,iv,pole,proximal,vessel,ct,pelvi,space,hematoma,contrast,head,iliac,lower,coronal,presacral,extracapsular,ureteral,extension,nonobtructive,abdoman,arrow,stone,section,perinephric,left"," CT scan of abdomen and pelvis with IV contrast coronal section showing perinephric hematoma, nonobtructive lower pole 6 mm stone and 1.1 cm obstructive proximal ureteral stone (arrow heads). Marked left perinephric stranding with extension of extracapsular hematoma to distal aorta, iliac vessels, and presacral space was noted."
ROCO_00103,PMC3467448_kcj-42-629-g001.jpg,"aortic,flap,aorta,echocardiography,intimal,transthoracic,root", Transthoracic echocardiography showed severely increased aortic root and ascending aorta with intimal flap.
ROCO_00104,PMC5378858_CCR3-5-501-g004.jpg,"lesion,iva,irregular,vii,metastasi,suspiciou,segment,subcentimeter"," Peripherally enhancing, irregular, marginated, subcentimeter lesion in segment IVa, and segment VII of liver‐ suspicious of metastasis."
ROCO_00105,PMC3272911_JCIS-1-43-g003.jpg,"temporal,central,likely,show,lobe,image,diagnosi,feature,pontine,t1,pon,axial,clinical,involvement,myelinolysi,unlikely,lesion,region,periphery"," T1 axial image shows hypointense lesions in the pontine region and at the periphery of the pons. Central pontine myelinolysis is a likely diagnosis, however, involvement of the temporal lobe and clinical features makes central pontine myelinolysis unlikely."
ROCO_00106,PMC3174812_z9k0091109120002.jpg,"right,vip,inflated,participant,area,ventral,lateral,intraparietal,location,interest,pcm,csv,putative,hemisphere,p2v,representative,sulcu,precuneu,cingulate,parietoinsular,region,visual,medial,pivc,rois,vestibular,cortex,representation,view"," An inflated representation of the right hemisphere of a representative participant (medial and lateral views) marked with the locations of the regions of interest (ROIs) that were studied. CSv, cingulate sulcus visual area; PcM, precuneus; VIP, ventral intraparietal area; p2v, putative area 2v; PIVC, parietoinsular vestibular cortex."
ROCO_00107,PMC2783156_1757-1626-2-207-3.jpg,"mas,clear,portion,tissue,mri,tissuesmri,nearby"," MRI showing that the mass was greatly enhanced, with a clear portion in the nearby tissues.MRI showing that the mass was greatly enhanced, with a clear portion in the nearby tissues"
ROCO_00109,PMC3470989_1752-1947-6-337-5.jpg,"cord,steel,signal,presence,postoperative,image,detail,titanium,spinal,axial,decompression,void,resonance,implant,magnetic", A post-operative axial magnetic resonance image. The signal void caused by the presence of the steel and titanium implants obscures any details of the spinal cord or decompression.
ROCO_00110,PMC4929806_CCR3-4-682-g003.jpg,"neonatal,xray,chest,larger,fetu", Neonatal chest X‐ray of the larger fetus.
ROCO_00111,PMC3508530_CRIM.UROLOGY2012-484790.002.jpg,"magnetic,intensity,tumor,homogenou,coronal,resonance,margin,lowsignal", Coronal T1-weighted magnetic resonance imaging showing a tumor with homogenous low-signal intensity and well-defined margins.
ROCO_00112,PMC3649588_jscr-2012-8-6fig3.jpg,"point,percha,area,periapical,gutta,ct", CT showing gutta percha point communicating with the periapical area
ROCO_00115,PMC4040944_TODENTJ-8-85_F1.jpg,"conventional,cantilever,distal,hybrid,long,prosthesi,design", Conventional design for hybrid prosthesis with long distal cantilevers.
ROCO_00116,PMC3298198_wjem-13-01-40w-f01.jpg,"visible,plain,acceptable,focu,sensitive,examination,screening,tomography,calcific"," Plain radiographs, though less sensitive than computed tomography, are an acceptable screening examination. A calcific focus is visible just anterior to C1."
ROCO_00117,PMC5325480_PAMJ-25-119-g001.jpg,"passant,par,foie,abdominal,axiale,dun,apr,coupe,pc,le,injection,du", Coupe axiale d’un scanner abdominal passant par le foie après injection du PC
ROCO_00119,PMC4026760_TOORTHJ-8-85_F2B.jpg,"patient,postoperative,lateral,threemonth,mri,female,surgery"," Postoperative lateral MRI of a female patient, three months after surgery."
ROCO_00120,PMC2174942_1477-7819-5-120-1.jpg,"ecg,effusion,mas,right,irregular,reveal,row,multislouse,cardiac,atrium,pericardial,moderate,ct", Multi-slice 16 row ECG- gated cardiac CT reveals an irregular mass in the right atrium and a moderate pericardial effusion.
ROCO_00121,PMC4702151_10.1177_1941738114547347-fig2.jpg,"angiography,complete,extension,image,dissection,thrombosi,vertebral,arrow,basilar,artery,resonance,magnetic", Magnetic resonance angiography image showing almost complete thrombosis of the basilar artery (arrow). This is an extension from the vertebral artery dissection and thrombosis.
ROCO_00123,PMC4515237_ijrm-13-297-g006.jpg,"hysterosalpingogram,right,bilateral,show,cavity,occlusion,uterine,appearance,tube,tuberculosi,mild,fallopian,arrow,tubal,genital,irregularity,outline", A 30-year-old-woman with genital tuberculosis. Hysterosalpingogram shows a beaded appearance at the right and left fallopian tubes associated with bilateral tubal occlusion (arrows). There is mild irregularity of the uterine cavity outline
ROCO_00124,PMC5116499_CRIS2016-5321081.003.jpg,"mas,submucosal,posterolateral,avascular,ultrasonography,wall,heteroechoic,duodenum,endoscopic", Endoscopic ultrasonography revealed avascular a heteroechoic submucosal mass at the posterolateral wall of the duodenum.
ROCO_00125,PMC2856583_1477-7819-8-26-2.jpg,"diameter,mas,abdominal,cm,reveal,pancreatic,tail,tomography,hypodense,illdefined", Abdominal computed tomography reveals an ill-defined hypodense mass approximately 3.0 × 1.6 cm in diameter in the pancreatic tail.
ROCO_00126,PMC4004887_cpe-16-089-g002.jpg,"ulna,end,whitearrowhead,radiu,hand,xray,dense,line", Hand X-rays showing dense lines at the end of radius and ulna (white arrowheads).
ROCO_00127,PMC3519221_JOMFP-16-420-g004.jpg,"apical,lesion,area,radiolucency,resorption,displacement,tooth,radiograph,part,periapical,intraoral,root,illdefined"," Intra-oral periapical radiographs showing ill-defined radiolucency, displacement and resorption of apical parts of roots of teeth in the areas of lesion 2"
ROCO_00128,PMC3955306_DRJ-11-119-g006.jpg,"distal,osteolysi,area", OPG showing the area of osteolysis distal to 28
ROCO_00129,PMC5417758_gr1.jpg,"solitary,depict,posteroanterior,spiculation,radiograph,hemithorax,slight,middle,chest,nodule,right,arrow,pulmonary,contour,third", Posteroanterior chest radiograph depicts a solitary pulmonary nodule in the middle third of the right hemithorax (arrow). Slight spiculation of its contour can be appreciated.
ROCO_00131,PMC3019595_rt-2010-4-e60-g003.jpg,"case,mas,right,cm,proptosi,magnetic,retrobulbar,orbit,axial,imaging,resonance,compartment", Axial magnetic resonance imaging of case 2 revealed a mass measuring 2.0×2.0 cm in the retrobulbar compartment of the right orbit causing proptosis.
ROCO_00132,PMC3891416_kjim-20-72-g002.jpg,"gastric,abdominal,gist,scan,stromal,mas,mucosa,tumor,bulb,duodenal,gastrointestinal,exophytic,round,ct", Abdominal CT scan showing an exophytic well-defined round mass in the duodenal bulb. The mass enhanced as gastric mucosa and was presumed to be a duodenal gastrointestinal stromal tumor (GIST).
ROCO_00133,PMC4722580_JOCR-5-21-g012.jpg,"hypoplastic,multiple,supernumerary,impacted,maxillary,sinu,slender,tooth,panoramic,proces,permanent,coronoid,view"," Panoramic view showing multiple impacted permanent and supernumerary teeth, hypoplastic maxillary sinus and slender coronoid process."
ROCO_00135,PMC3959546_AnnGastroenterol-27-76-g001.jpg,"multiple,scan,noncommunicating,liver,cyst,kidney,ct", CT scan showing multiple non-communicating cysts in liver and kidney
ROCO_00137,PMC5024903_AJUM-14-06-g007.jpg,"foraman,sternal", Sternal foramen.
ROCO_00139,PMC4769759_CRIRA2016-2820381.003.jpg,"radiograph,postoperative,immediate,acl,ap,reconstruction,view", Immediate ACL reconstruction postoperative radiographs in AP view.
ROCO_00140,PMC4842355_CRID2016-6930567.004.jpg,"radiography,patient,panoramic,prosthesis,rehabilitation,view", Panoramic radiography view of patient before rehabilitation with prostheses in 2014.
ROCO_00141,PMC3838813_CRIM.OTOLARYNGOLOGY2013-578091.003.jpg,"canal,right,reconstruction,auditory,fistula,region,bifurcation,facing,posterior,coronal,external,arrow,tract,fistulogram,upward,opening,ct", CT fistulogram with coronal reconstruction (posterior to Figure 2) showing the bifurcation of the fistula tract; one opening into the external auditory canal (shown by right facing arrow) and other going to retroauricular region (shown by upward arrow).
ROCO_00142,PMC2859028_VMI2010-939870.001.jpg,"reticulum,demarcable,density,lateral,presence,metallic,radiograph,diaphragmatic,nonpotential,line,potential", Lateral radiograph of reticulum showing clearly demarcable diaphragmatic line and presence of potential and nonpotential metallic densities cranial to diaphragm.
